category,word_english,word_filipino,manifest_slug
"Colors & Shapes","Green","Berde","green"
"Colors & Shapes","Flower","Bulaklak","flower"
"Food & Drinks","Bottle","Bote","bottle"
"Food & Drinks","Cup","Tasa","cup"
"Food & Drinks","Spoon","Kutsara","spoon"
"Food & Drinks","Fork","Tinidor","fork"
"Food & Drinks","Plate","Plato","plate"
"Weather","Partly Cloudy","Bahagyang Maulap","partly cloudy"
"Classroom","Table","Mesa","table"
"Classroom","Paper","Papel","paper"
"Classroom","Ball","Bola","ball"
"Classroom","Door","Pinto","door"
"Classroom","Window","Bintana","window"
"Classroom","Television","Telebisyon","television"
"Classroom","Phone","Telepono","phone"
"Actions","Run","Tumakbo","run"
"Actions","Jump","Tumalon","jump"
"Actions","Eat","Kumain","eat"
"Actions","Drink","Uminom","drink"
"Actions","Sleep","Matulog","sleep"
"Actions","Read","Magbasa","read"
"Actions","Write","Magsulat","write"
"Actions","Sing","Kumanta","sing"
"Actions","Dance","Sumayaw","dance"
"Actions","Clap","Pumalakpak","clap"
"Actions","Sit","Umupo","sit"
"Actions","Stand","Tumayo","stand"
"Actions","Open","Magbukas","open"
"Actions","Close","Magsara","close"
"Actions","Wave","Kumaway","wave"
"Actions","Cry","Umiyak","cry"
"Actions","Laugh","Tumawa","laugh"
"Actions","Swim","Lumangoy","swim"
"Actions","Play","Maglaro","play"
